N200_K11,N150_K8,N100_K6,N50_K3,N20_K2,N300_K16,N5_K2,N10_K2,N25_K2,N500_K26,N15_K2,N400_K21
5585,6641,3142,3633,1799,6993,459,850,1811,7889,872,5568
2978,2874,2474,1664,940,3529,274,500,1063,,755,3738
2588,2609,2371,1550,827,3515,274,459,1063,,720,
2476,2458,2301,1526,827,3383,274,459,1009,,718,
2417,2241,2151,1505,827,,274,429,983,,645,
2417,2163,1971,1505,827,,274,429,963,,645,
2306,2109,1875,1430,827,,274,429,942,,645,
2200,2061,1742,1409,827,,274,429,942,,645,
2122,2010,1677,1409,821,,274,429,942,,645,
1964,1971,1639,1409,821,,274,429,936,,645,
1934,1971,1624,1409,821,,274,429,936,,645,
1928,1971,1561,1393,821,,274,429,936,,645,
1928,1921,1551,1393,821,,274,429,936,,645,
,1917,1551,1393,814,,274,429,936,,645,
,1912,1551,1393,814,,274,429,936,,645,
,1864,1551,1393,814,,274,429,936,,645,
,1864,1551,1393,814,,274,429,936,,645,
,1864,1551,1388,814,,274,429,936,,645,
,1848,1551,1361,814,,274,429,936,,645,
,1845,1551,1361,814,,274,429,936,,645,
,1831,1551,1355,814,,274,429,936,,645,
,1831,1551,1355,814,,274,429,936,,645,
,1831,1551,1355,814,,274,429,932,,645,
,1831,1551,1355,814,,274,429,932,,645,
,1831,1551,1355,814,,274,429,932,,645,
,1831,1551,1355,814,,274,429,932,,645,
,1831,1551,1355,814,,274,429,932,,645,
,1831,1551,1355,814,,274,429,932,,645,
,1831,1551,1355,814,,274,429,932,,645,
,,1551,1355,805,,274,429,932,,645,
,,1551,1355,805,,274,429,926,,645,
,,1551,1355,805,,274,429,926,,645,
,,1551,1355,805,,274,429,926,,645,
,,1551,1355,805,,274,429,926,,645,
,,1551,1355,805,,274,429,926,,645,
,,1551,1355,805,,274,429,926,,645,
,,1551,1355,805,,274,429,926,,645,
,,1551,1355,805,,274,429,926,,645,
,,1551,1355,805,,274,429,926,,645,
,,1551,1355,805,,274,429,917,,645,
,,1551,1355,805,,274,429,917,,645,
,,1551,1355,805,,274,429,917,,645,
,,1551,1355,805,,274,429,917,,645,
,,1551,1355,805,,274,429,917,,645,
,,1551,1355,805,,274,429,909,,645,
,,1551,1355,805,,274,429,909,,645,
,,1551,1355,805,,274,429,909,,645,
,,1551,1355,805,,274,429,907,,645,
,,1551,1355,805,,274,429,907,,645,
,,1551,1355,805,,274,429,907,,645,
,,1551,1355,805,,274,429,907,,645,
,,1551,1355,805,,274,429,907,,645,
,,1551,1355,805,,274,429,903,,645,
,,1551,1355,805,,274,429,903,,645,
,,1551,1355,805,,274,429,903,,645,
,,1551,1355,805,,274,429,903,,645,
,,1551,1355,805,,274,429,903,,645,
,,1551,1355,805,,274,429,903,,645,
,,1551,1355,805,,274,429,903,,645,
,,1551,1355,805,,274,429,903,,634,
,,1551,1355,805,,274,429,903,,634,
,,1551,1355,805,,274,429,903,,634,
,,1551,1355,805,,274,429,903,,634,
,,1551,1351,805,,274,429,885,,634,
,,1551,1351,805,,274,429,885,,634,
,,1551,1351,805,,274,429,885,,634,
,,1551,1351,805,,274,429,885,,634,
,,1551,1351,805,,274,429,885,,634,
,,1551,1351,794,,274,429,885,,634,
,,1551,1351,794,,274,429,885,,634,
,,1551,1351,794,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,1551,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1351,782,,274,429,885,,634,
,,,1332,782,,274,429,885,,634,
,,,1332,782,,274,429,885,,634,
,,,1332,782,,274,429,885,,634,
,,,1332,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,634,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,885,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,878,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,877,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1326,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,843,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,782,,274,429,813,,618,
,,,1299,776,,274,429,813,,618,
,,,1299,776,,274,429,813,,618,
,,,1299,776,,274,429,813,,618,
,,,1299,776,,274,429,813,,618,
,,,1299,776,,274,429,813,,618,
,,,1299,776,,274,429,813,,618,
,,,1299,776,,274,429,813,,618,
,,,1299,776,,274,429,813,,618,
,,,1299,776,,274,429,813,,618,
,,,1299,768,,274,429,813,,618,
,,,1299,768,,274,429,813,,618,
,,,1299,768,,274,429,813,,618,
